x	XJ	QH	HLJ	SX	HB	SC	JS	GX
0	4.15769	4.1016	1.26584	1.40216	4.53842	2.29875	1.92086	1.60406
0	4.11516	3.05736	1.77468	2.08914	5.52761	1.70715	2.19219	1.94238
0	5.66175	4.31217	1.79049	2.48923	5.84125	2.48844	1.80139	1.18262
500	3.56724	2.48514	1.48095	1.71061	4.48253	2.27539	1.85919	1.40771
500	3.71954	3.64233	1.5689	1.77085	4.72729	1.94503	1.79328	1.4269
500	3.68635	2.04331	1.60116	1.44482	5.98047	1.27798	2.57456	1.34671
1000	3.27714	2.75771	1.27165	1.4089	5.2381	1.70733	2.0968	1.71309
1000	3.21159	2.44002	1.34848	1.83324	4.6224	1.79179	1.974	1.74208
1000	3.31318	2.49421	1.08383	1.345	4.04724	1.793	2.4125	1.74316
2000	3.13371	1.93827	1.53036	1.25683	5.14123	1.55355	2.39668	1.93038
2000	3.67631	2.29212	1.18394	1.6147	4.36964	1.33362	2.42473	1.68062
2000	3.67631	2.64972	1.04026	1.37817	3.97977	2.05032	2.40167	2.07429
4000	3.29037	2.13503	1.00045	1.27474	4.77513	1.18696	2.84901	1.92743
4000	3.14143	1.95396	1.03619	1.34817	3.31582	1.53042	2.60978	2.4342
4000	3.32469	2.15439	1.0488	1.34817	3.83077	1.36004	2.25852	1.91549
