sample_name	cf
HLJ0_1	0.3359197
HLJ0_2	0.979988355
HLJ0_3	1
HLJ500_1	0.608197053
HLJ500_2	0.719520531
HLJ500_3	0.760353906
HLJ1000_1	0.343273758
HLJ1000_2	0.440521999
HLJ1000_3	0.10553896
HLJ2000_1	0.67073819
HLJ2000_2	0.232254063
HLJ2000_3	0.050389854
HLJ4000_1	0
HLJ4000_2	0.045238216
HLJ4000_3	0.061199433
SX0_1	0.117924375
SX0_2	0.675357027
SX0_3	1
SX500_1	0.368208374
SX500_2	0.417088608
SX500_3	0.15253976
SX1000_1	0.123393379
SX1000_2	0.467713405
SX1000_3	0.07154333
SX2000_1	0
SX2000_2	0.290384615
SX2000_3	0.098458293
SX4000_1	0.014532619
SX4000_2	0.074115547
SX4000_3	0.074115547
HB0_1	0.458821984
HB0_2	0.830048975
HB0_3	0.947752988
HB500_1	0.437847372
HB500_2	0.529701837
HB500_3	1
HB1000_1	0.721400559
HB1000_2	0.490338318
HB1000_3	0.274490083
HB2000_1	0.685046817
HB2000_2	0.395481583
HB2000_3	0.249169685
HB4000_1	0.547655414
HB4000_2	0
HB4000_3	0.193252397
SC0_1	0.854250546
SC0_2	0.399691121
SC0_3	1
SC500_1	0.836301749
SC500_2	0.582467652
SC500_3	0.069935765
SC1000_1	0.399829425
SC1000_2	0.464724775
SC1000_3	0.465654486
SC2000_1	0.281671635
SC2000_2	0.112687095
SC2000_3	0.663367858
SC4000_1	0
SC4000_2	0.263899561
SC4000_3	0.132987061
QH0_1	0.911297864
QH0_2	0.471414129
QH0_3	1
QH500_1	0.230367749
QH500_2	0.717831417
QH500_3	0.044247862
QH1000_1	0.345187245
QH1000_2	0.211361051
QH1000_3	0.234188466
QH2000_1	0
QH2000_2	0.149058511
QH2000_3	0.299696702
QH4000_1	0.082884704
QH4000_2	0.006609377
QH4000_3	0.091040061
XJ0_1	0.405048971
XJ0_2	0.388225661
XJ0_3	1
XJ500_1	0.171488584
XJ500_2	0.231732884
XJ500_3	0.218604136
XJ1000_1	0.056735653
XJ1000_2	0.030806475
XJ1000_3	0.070991756
XJ2000_1	0
XJ2000_2	0.21463268
XJ2000_3	0.21463268
XJ4000_1	0.061968956
XJ4000_2	0.003053749
XJ4000_3	0.075544691
