sample_name	HLJ0_1	HLJ0_2	HLJ0_3	HLJ500_1	HLJ500_2	HLJ500_3	HLJ1000_1	HLJ1000_2	HLJ1000_3	HLJ2000_1	HLJ2000_2	HLJ2000_3	HLJ4000_1	HLJ4000_2	HLJ4000_3	SX0_1	SX0_2	SX0_3	SX500_1	SX500_2	SX500_3	SX1000_1	SX1000_2	SX1000_3	SX2000_1	SX2000_2	SX2000_3	SX4000_1	SX4000_2	SX4000_3	HB0_1	HB0_2	HB0_3	HB500_1	HB500_2	HB500_3	HB1000_1	HB1000_2	HB1000_3	HB2000_1	HB2000_2	HB2000_3	HB4000_1	HB4000_2	HB4000_3	SC0_1	SC0_2	SC0_3	SC500_1	SC500_2	SC500_3	SC1000_1	SC1000_2	SC1000_3	SC2000_1	SC2000_2	SC2000_3	SC4000_1	SC4000_2	SC4000_3	QH0_1	QH0_2	QH0_3	QH500_1	QH500_2	QH500_3	QH1000_1	QH1000_2	QH1000_3	QH2000_1	QH2000_2	QH2000_3	QH4000_1	QH4000_2	QH4000_3	XJ0_1	XJ0_2	XJ0_3	XJ500_1	XJ500_2	XJ500_3	XJ1000_1	XJ1000_2	XJ1000_3	XJ2000_1	XJ2000_2	XJ2000_3	XJ4000_1	XJ4000_2	XJ4000_3
K00426	135.4786	159.4979	169.5894	131.2784	138.7316	147.2872	136.5092	123.1731	151.378	134.7553	151.6834	150.4472	106.6185	94.24834	116.7656	116.6895	119.0321	107.2733	99.88963	121.4508	113.6876	98.57809	87.43546	70.87029	90.39694	55.21518	55.10942	41.43195	47.45242	60.85659	165.0685	157.7967	149.033	155.7988	160.9312	111.0875	118.8578	146.0094	139.7967	132.8197	134.2131	151.222	119.4848	116.0509	97.50342	124.5527	106.7525	103.3048	101.5302	119.8501	148.9497	102.3774	115.0686	104.6597	115.3786	93.84464	92.6246	111.3657	99.30624	93.2085	125.0007	135.6089	115.4079	102.0438	96.67339	75.56572	116.1308	144.3516	131.2993	168.7179	145.7017	139.9668	150.403	176.7467	150.1728	104.8478	112.9227	102.3318	104.2674	141.4089	98.88607	110.3483	118.6037	100.8281	109.6089	95.83466	90.10532	115.2402	111.9544	90.29361
K02297	29.15744	15.1583	21.41464	20.54038	5.150674	6.344288	29.24999	14.84722	28.77432	3.484921	6.840202	7.591973	6.154031	8.277549	12.27906	10.52119	12.14093	13.89336	18.07307	11.09357	12.92048	18.54417	5.832542	4.991073	7.475822	6.215045	6.209735	3.181404	5.459655	6.143666	17.67307	25.93081	20.78906	21.98205	16.39174	12.04912	14.0509	9.411394	11.64549	18.1956	13.00363	15.13117	11.64141	10.40229	3.650423	12.11845	14.01173	9.13303	11.55177	10.56654	51.56722	14.58482	6.489804	8.440019	10.06489	14.20541	9.923733	13.1774	14.38761	10.23231	5.893898	6.563145	5.647076	8.286013	10.55531	4.901917	6.422979	3.529173	4.868606	10.40464	8.878917	17.39261	13.04665	9.998863	8.065593	6.319478	14.83787	8.674473	13.04484	13.19289	5.591271	8.181484	6.283201	7.010604	11.41791	9.063077	13.17257	11.38843	7.165071	8.521678
K01176	125.4095	109.094	102.5457	107.3259	111.1035	88.43866	116.1394	102.9311	67.87843	122.1312	139.444	126.6428	68.39108	71.13085	73.79686	100.6065	82.27798	81.94696	93.21848	86.52169	94.94244	93.18692	79.83262	88.64296	85.04075	56.74742	57.955	44.62919	40.69278	59.377	100.2454	110.1183	108.8363	91.62014	99.95166	85.32758	85.58351	81.45645	123.6647	100.9734	74.07354	142.9571	77.57029	92.67646	103.256	109.9827	99.73309	123.9072	108.2915	122.9558	87.0049	89.86388	104.5295	107.9824	80.22949	99.45091	122.7351	108.9452	85.30834	95.22805	91.07558	91.27259	105.7273	147.3742	134.8229	132.3699	71.75217	83.28835	75.1133	65.66157	82.06739	62.13309	105.9558	63.22206	68.58266	137.757	153.4883	174.6669	123.4932	152.17	141.7194	129.5002	123.3731	122.5063	151.1808	154.531	168.2875	142.36	114.6029	143.0288
K01178	136.713	102.8761	114.1731	73.035	70.70447	58.5321	95.5743	96.80047	60.51923	55.27463	47.06795	64.92687	81.89987	108.0136	73.53474	79.19281	83.5304	72.78545	82.08364	70.21267	64.62632	67.44275	72.67114	79.42126	61.57605	45.61119	56.21272	36.13674	39.73698	58.51756	101.9891	121.8266	122.177	103.4158	110.5443	106.4328	76.39236	106.5688	101.1773	91.75503	67.37177	85.78453	87.09414	77.78265	75.6892	93.55093	79.92006	69.99272	76.20117	83.37094	71.90107	83.83204	63.29582	83.58321	93.3177	88.82438	94.29776	92.97492	88.6907	87.03759	89.99387	87.44653	83.91661	54.86925	63.64375	55.59377	79.13308	71.88029	88.87389	54.00757	73.8049	63.68045	59.13489	60.91655	59.90306	60.55682	65.6504	55.39412	54.71581	64.99254	64.31331	66.09951	55.94473	54.5638	63.41344	76.25625	54.62454	59.47009	57.8983	57.25552
K01179	430.2352	580.2168	510.0248	439.4151	424.8394	492.086	428.1376	521.1521	434.7026	527.9529	507.0884	454.7022	425.4767	496.8238	417.0676	484.6882	472.077	513.2081	479.3609	514.3857	440.8534	390.2962	403.1845	386.7522	363.2716	261.6695	305.6191	203.9115	212.5165	302.4843	422.8209	433.7489	476.5085	460.9865	413.0362	375.8806	382.0359	352.6586	466.3367	395.5438	395.8733	469.2805	369.5542	425.2492	348.1056	499.0976	462.7088	476.7647	471.9431	452.3377	481.5401	448.7799	499.6646	509.4364	456.6008	472.1506	496.8623	435.3274	473.9778	466.8518	455.0293	400.6519	415.535	510.2206	466.6942	404.4767	368.3931	382.3629	421.6874	386.1782	382.684	365.2439	439.4114	342.1584	345.8076	393.0859	440.3663	424.7661	395.2854	503.5059	383.784	390.7233	427.1168	399.2078	390.7385	388.6278	430.7954	497.2163	400.3115	454.4106
K01187	403.4744	382.5108	380.2945	341.3067	308.5964	332.3472	328.689	353.0501	297.4005	374.8237	376.654	402.2082	339.4862	360.8815	353.7722	384.2124	394.3873	387.6418	301.1769	343.8122	346.4687	310.083	288.3265	277.1156	312.2013	206.5035	200.5078	155.3092	170.0051	209.5754	315.5241	358.0962	368.9886	364.061	292.1955	275.5359	285.7198	276.8234	324.1467	276.1295	263.5394	352.8997	318.4254	316.3937	285.0952	314.4233	330.8611	310.1626	312.7572	323.8083	374.2181	343.0909	318.7665	304.9659	291.4927	276.6961	277.1879	286.8423	304.121	304.1453	372.8953	341.1323	326.5873	353.8223	336.311	322.4338	325.9213	322.0192	372.536	347.4251	332.7617	367.3891	338.3716	342.8221	320.6156	395.6986	376.1485	410.8138	411.5967	513.9903	400.1324	386.1087	432.2353	444.0183	416.0165	378.3446	370.2095	475.1886	373.3583	358.284
K01190	220.8548	252.4413	223.9817	276.2674	228.0289	198.8015	184.1364	199.8598	173.2017	185.1878	215.6826	165.2549	176.9405	198.7556	196.5918	182.3213	185.797	214.1886	162.2112	156.3023	186.7907	134.5377	141.5096	127.4124	142.7227	90.99991	99.03206	78.14752	72.55077	114.4562	146.703	197.1357	271.8437	201.8041	180.8356	184.4511	247.238	162.9401	192.1344	165.9773	214.7798	263.3989	186.0452	239.9027	191.1542	216.334	170.5587	204.6449	221.4672	215.9166	219.4041	223.5944	227.7737	184.5713	187.7476	186.2117	183.7871	160.9665	166.2923	183.7739	179.1142	143.1329	150.573	172.3201	127.3616	141.796	126.0279	122.1763	125.4067	132.4443	147.5399	135.9132	207.7226	133.848	136.0186	143.0689	202.0122	179.4296	178.7674	286.7655	148.2356	170.3137	190.2977	173.9988	148.4738	145.0731	174.7789	224.0431	152.3511	179.0272
K01191	175.5068	132.9295	120.1533	119.7274	104.1625	108.6089	139.7165	152.6899	84.84718	143.5597	163.2154	147.3431	145.6915	111.3381	125.7293	114.1415	116.9103	116.2676	136.3148	98.4414	106.6644	82.04489	89.83822	90.9028	76.64242	60.13657	66.6019	51.39253	52.64403	82.26204	108.1921	129.6892	124.7652	134.1398	104.9353	116.4566	181.2136	142.186	102.5349	116.2813	81.92299	111.8862	112.536	181.3233	167.0176	87.7599	73.85441	89.43179	81.37899	105.0467	88.74042	95.53	86.54424	79.96301	59.33803	65.68611	74.50625	73.86334	68.01552	64.68644	86.46884	93.06766	96.23848	60.25159	77.50548	80.05787	71.73139	67.942	85.28595	60.40245	74.01342	61.48563	53.2715	49.26563	63.82017	126.7885	105.0453	99.79401	56.5284	61.07573	82.27389	94.91709	90.62861	83.52786	83.44894	94.58229	79.64382	97.52211	79.95112	82.09474
K01192	88.78772	100.729	89.15079	76.86312	58.37044	83.64544	80.61573	87.22852	75.02315	81.07167	87.33427	75.30798	65.38465	61.47682	59.81199	72.76915	77.9299	64.83497	50.42824	49.42629	52.37074	30.604	47.0344	39.63986	34.93978	23.74693	29.8349	17.86021	28.23912	28.33966	64.45354	51.90371	60.13944	69.22306	46.57874	49.86913	54.61554	38.78283	34.75287	49.66933	54.17522	44.74535	50.77349	58.43847	42.96773	32.8176	23.594	34.98707	36.20568	47.47329	54.25516	42.83533	29.7966	31.09994	24.54814	27.05713	24.46768	26.97377	28.06344	30.59587	47.29685	43.17492	46.46721	41.68363	43.87683	33.40819	59.504	46.70016	41.96237	46.65764	64.502	56.22794	37.05773	52.21264	46.95699	51.04277	47.86819	57.17179	57.43814	53.97381	38.65162	45.30883	50.2785	48.53398	41.10599	51.29177	42.1775	54.1201	41.28453	42.65947
K01205	14.77608	22.83857	16.17252	6.055159	14.89547	13.65756	6.972111	16.09952	12.05934	9.693034	11.22865	8.274237	9.595586	12.26273	9.08986	12.72297	10.60151	25.43568	10.35487	10.3708	10.42342	6.687407	10.00251	6.554644	8.772413	4.002288	2.240331	3.406166	3.975748	8.048919	13.55105	13.26313	14.46293	18.04637	11.17559	11.38203	14.23254	9.808109	13.06299	14.14347	12.91355	14.15783	16.12237	9.068171	11.97454	9.273161	11.23539	13.57806	9.494442	8.735548	11.03816	9.557047	9.431097	10.83746	6.897931	13.08215	7.014795	8.419718	8.078824	7.192076	7.389118	3.121717	7.802503	1.796444	2.631816	5.887364	2.169215	4.395462	0.104155	2.5468	3.505081	3.65919	2.165224	3.476626	4.419562	7.524234	9.416067	15.4387	4.357685	7.256809	8.288764	10.90851	8.113472	4.413474	10.37467	7.462811	6.333811	18.63629	5.421701	12.69546
